id	e	k	m	t
0	0	6	2816	72.0
1	0	6	2955	5.0
2	0	6	2781	3.0
3	0	6	3088	4.0
4	0	6	2937	1.0
5	0	6	1949	1.0
6	0	6	2971	1.0
7	0	6	2615	1.0
8	0	6	2981	1.0
9	0	6	2242	1.0
10	0	6	3321	1.0
11	0	6	3185	1.0
12	0	6	1700	1.0
13	0	6	2748	1.0
14	0	6	3105	1.0
15	0	6	3025	1.0
16	0	6	3138	1.0
17	0	6	3030	1.0
18	0	6	2768	1.0
19	0	6	3668	2.0
20	0	6	545	0.0
21	0	6	707	1.0
22	0	6	2400	1.0
23	0	6	2721	1.0
24	0	6	3008	1.0
25	0	6	3014	1.0
26	0	6	2047	1.0
27	0	6	671	1.0
28	0	6	2906	1.0
29	0	6	2526	1.0
30	0	6	2812	1.0
31	0	6	2104	1.0
32	0	6	2943	1.0
33	0	6	2290	1.0
34	0	6	3047	1.0
35	0	6	2594	1.0
36	0	6	3030	1.0
37	0	6	2638	1.0
38	0	6	3371	1.0
39	0	6	2702	1.0
40	0	6	2951	1.0
41	0	6	3060	1.0
42	0	6	3150	1.0
43	0	6	3245	1.0
44	0	6	2818	1.0
45	0	6	3295	1.0
46	0	6	2739	1.0
47	0	6	2964	1.0
48	0	6	1820	1.0
49	0	6	834	1.0
50	0	6	3251	1.0
51	0	6	1827	1.0
52	0	6	2766	1.0
53	0	6	2553	1.0
54	0	6	2627	1.0
55	0	6	3786	1.0
56	0	6	2782	1.0
57	0	6	2811	1.0
58	0	6	2458	1.0
59	0	6	2772	1.0
60	0	6	2591	1.0
61	0	6	3235	1.0
62	0	6	2818	1.0
63	0	6	2943	1.0
64	0	6	3422	1.0
65	0	6	3031	1.0
66	0	6	2665	1.0
67	0	6	2928	1.0
68	0	6	2962	1.0
69	0	6	3331	1.0
70	0	6	2878	1.0
71	0	6	2672	1.0
72	0	6	2892	1.0
73	0	6	2895	1.0
74	0	6	2466	1.0
75	0	6	1357	1.0
76	0	6	3158	1.0
77	0	6	2480	1.0
78	0	6	2732	1.0
79	0	6	3025	1.0
80	0	6	3179	1.0
81	0	6	3333	1.0
82	0	6	3306	1.0
83	0	6	2699	1.0
84	0	6	1217	0.0
85	0	6	2978	1.0
86	0	6	2705	1.0
87	0	6	3030	1.0
88	0	6	3047	1.0
89	0	6	3683	1.0
90	0	6	2864	1.0
91	0	6	2666	1.0
92	0	6	2853	1.0
93	0	6	2393	1.0
94	0	6	2941	1.0
95	0	6	1577	1.0
96	0	6	2956	1.0
97	0	6	2687	1.0
98	0	6	3043	1.0
99	0	6	3254	1.0
0	1	6	43228	10.0
1	1	6	44181	9.0
2	1	6	43007	8.0
3	1	6	44584	9.0
4	1	6	43403	12.0
5	1	6	36635	9.0
6	1	6	43915	9.0
7	1	6	41609	9.0
8	1	6	44113	9.0
9	1	6	39354	9.0
10	1	6	45345	8.0
11	1	6	44319	8.0
12	1	6	34384	13.0
13	1	6	43038	10.0
14	1	6	44393	8.0
15	1	6	44097	8.0
16	1	6	44596	8.0
17	1	6	43890	9.0
18	1	6	42752	9.0
19	1	6	46374	9.0
20	1	6	14745	7.0
21	1	6	17991	6.0
22	1	6	39762	8.0
23	1	6	42045	9.0
24	1	6	44098	9.0
25	1	6	44234	9.0
26	1	6	37343	9.0
27	1	6	18021	7.0
28	1	6	43784	8.0
29	1	6	40940	8.0
30	1	6	42770	8.0
31	1	6	37820	10.0
32	1	6	43809	8.0
33	1	6	39282	9.0
34	1	6	44299	8.0
35	1	6	41840	8.0
36	1	6	44212	9.0
37	1	6	41902	9.0
38	1	6	45367	9.0
39	1	6	42120	8.0
40	1	6	43805	8.0
41	1	6	44588	8.0
42	1	6	44000	8.0
43	1	6	45067	9.0
44	1	6	42978	8.0
45	1	6	45109	8.0
46	1	6	41101	8.0
47	1	6	43574	9.0
48	1	6	34112	8.0
49	1	6	19762	7.0
50	1	6	44975	8.0
51	1	6	35395	8.0
52	1	6	40934	8.0
53	1	6	41791	9.0
54	1	6	42195	9.0
55	1	6	46586	12.0
56	1	6	42680	8.0
57	1	6	42597	8.0
58	1	6	38986	8.0
59	1	6	42152	16.0
60	1	6	41877	8.0
61	1	6	45081	9.0
62	1	6	43030	9.0
63	1	6	43925	8.0
64	1	6	45580	8.0
65	1	6	44027	8.0
66	1	6	41939	9.0
67	1	6	43620	8.0
68	1	6	43036	8.0
69	1	6	45349	9.0
70	1	6	42884	8.0
71	1	6	41902	9.0
72	1	6	43672	9.0
73	1	6	43537	8.0
74	1	6	40884	8.0
75	1	6	30485	10.0
76	1	6	44886	9.0
77	1	6	41142	13.0
78	1	6	42424	9.0
79	1	6	44371	8.0
80	1	6	44735	15.0
81	1	6	45289	8.0
82	1	6	45382	13.0
83	1	6	42395	8.0
84	1	6	27123	8.0
85	1	6	43828	8.0
86	1	6	42725	9.0
87	1	6	44302	13.0
88	1	6	44239	9.0
89	1	6	46387	8.0
90	1	6	43192	8.0
91	1	6	41532	16.0
92	1	6	43343	9.0
93	1	6	39405	8.0
94	1	6	43607	10.0
95	1	6	32683	9.0
96	1	6	43912	9.0
97	1	6	42519	13.0
98	1	6	44433	13.0
99	1	6	45050	9.0
0	2	6	230897	57.0
1	2	6	232181	57.0
2	2	6	230675	59.0
3	2	6	232546	56.0
4	2	6	230899	62.0
5	2	6	219664	66.0
6	2	6	231819	56.0
7	2	6	228332	57.0
8	2	6	232007	56.0
9	2	6	224980	57.0
10	2	6	233424	58.0
11	2	6	232002	56.0
12	2	6	215004	58.0
13	2	6	230653	58.0
14	2	6	232258	56.0
15	2	6	231939	56.0
16	2	6	232575	57.0
17	2	6	231563	56.0
18	2	6	230215	57.0
19	2	6	234530	56.0
20	2	6	134355	52.0
21	2	6	151506	55.0
22	2	6	224661	57.0
23	2	6	228841	58.0
24	2	6	231997	57.0
25	2	6	232132	68.0
26	2	6	220999	58.0
27	2	6	153210	58.0
28	2	6	231647	69.0
29	2	6	227346	57.0
30	2	6	230082	57.0
31	2	6	221919	71.0
32	2	6	231617	57.0
33	2	6	224412	58.0
34	2	6	232242	70.0
35	2	6	228931	57.0
36	2	6	232130	56.0
37	2	6	228916	59.0
38	2	6	233408	55.0
39	2	6	229241	57.0
40	2	6	231592	57.0
41	2	6	232641	56.0
42	2	6	231383	56.0
43	2	6	233091	61.0
44	2	6	230324	56.0
45	2	6	233108	58.0
46	2	6	226139	64.0
47	2	6	231245	57.0
48	2	6	211346	59.0
49	2	6	152628	67.0
50	2	6	232993	64.0
51	2	6	217170	58.0
52	2	6	225532	70.0
53	2	6	229015	57.0
54	2	6	229639	57.0
55	2	6	234737	56.0
56	2	6	230094	56.0
57	2	6	229717	56.0
58	2	6	221054	69.0
59	2	6	228767	57.0
60	2	6	229145	57.0
61	2	6	233121	69.0
62	2	6	230647	56.0
63	2	6	231847	56.0
64	2	6	233640	61.0
65	2	6	231874	56.0
66	2	6	228938	57.0
67	2	6	231369	62.0
68	2	6	229940	56.0
69	2	6	233425	56.0
70	2	6	229946	62.0
71	2	6	228793	57.0
72	2	6	231422	56.0
73	2	6	231268	58.0
74	2	6	227451	57.0
75	2	6	204306	58.0
76	2	6	232919	69.0
77	2	6	228075	57.0
78	2	6	229695	57.0
79	2	6	232357	69.0
80	2	6	232688	56.0
81	2	6	233311	62.0
82	2	6	233464	56.0
83	2	6	229826	57.0
84	2	6	188414	58.0
85	2	6	231600	57.0
86	2	6	230376	57.0
87	2	6	232270	56.0
88	2	6	232148	59.0
89	2	6	234540	56.0
90	2	6	230822	57.0
91	2	6	227749	57.0
92	2	6	231032	56.0
93	2	6	223787	57.0
94	2	6	231294	61.0
95	2	6	209595	58.0
96	2	6	231795	56.0
97	2	6	230009	58.0
98	2	6	232430	61.0
99	2	6	233082	56.0
0	0	7	5504	3.0
1	0	7	5829	3.0
2	0	7	5531	3.0
3	0	7	6114	3.0
4	0	7	6113	3.0
5	0	7	3517	2.0
6	0	7	6221	3.0
7	0	7	5057	2.0
8	0	7	5985	3.0
9	0	7	3890	2.0
10	0	7	7485	3.0
11	0	7	7215	3.0
12	0	7	2884	2.0
13	0	7	5198	3.0
14	0	7	6689	3.0
15	0	7	6483	3.0
16	0	7	7018	3.0
17	0	7	6694	3.0
18	0	7	6014	3.0
19	0	7	9120	4.0
20	0	7	913	0.0
21	0	7	1215	1.0
22	0	7	4522	2.0
23	0	7	5615	3.0
24	0	7	6130	3.0
25	0	7	6180	3.0
26	0	7	3835	2.0
27	0	7	1079	1.0
28	0	7	6078	4.0
29	0	7	4950	4.0
30	0	7	5948	3.0
31	0	7	3988	2.0
32	0	7	5803	3.0
33	0	7	4304	2.0
34	0	7	6143	4.0
35	0	7	4808	3.0
36	0	7	6308	3.0
37	0	7	5288	3.0
38	0	7	7929	3.0
39	0	7	5608	3.0
40	0	7	5783	3.0
41	0	7	6174	3.0
42	0	7	7552	3.0
43	0	7	6999	3.0
44	0	7	5612	3.0
45	0	7	7187	3.0
46	0	7	5951	3.0
47	0	7	6444	2.0
48	0	7	3140	2.0
49	0	7	1458	1.0
50	0	7	7471	3.0
51	0	7	3209	2.0
52	0	7	6588	3.0
53	0	7	4617	3.0
54	0	7	5005	3.0
55	0	7	10248	4.0
56	0	7	5696	3.0
57	0	7	5909	3.0
58	0	7	5026	2.0
59	0	7	5622	4.0
60	0	7	5201	3.0
61	0	7	6675	3.0
62	0	7	5814	3.0
63	0	7	6137	3.0
64	0	7	7984	3.0
65	0	7	6875	5.0
66	0	7	5499	4.0
